operations_date,site_code,region,incidents_total,incidents_p1,incidents_p2,incidents_p3,work_orders_opened,corrective_work_orders,downtime_hours_total,sla_target_pct,availability_pct,sla_met_flag,capacity_utilization_pct,avg_hall_temperature_f,power_usage_mw,outage_flag,visitor_count,customer_tickets_opened
2024-01-01,ASH01,AMER-East,1,0,0,1,4,1,7.81,99.9,99.749,0,74.3,70.8,56.3,0,49,0
2024-01-02,ASH01,AMER-East,0,0,0,0,0,0,0.45,99.9,99.98,1,77.7,71.3,57.85,0,61,0
2024-01-03,ASH01,AMER-East,1,0,0,1,0,0,0.17,99.9,99.921,1,75.0,68.9,50.26,0,55,0
2024-01-04,ASH01,AMER-East,2,1,0,1,3,3,14.41,99.9,99.636,0,78.5,73.1,58.18,1,48,2
2024-01-05,ASH01,AMER-East,0,0,0,0,0,0,0.74,99.9,99.915,1,74.7,74.6,56.69,0,44,0
2024-01-06,ASH01,AMER-East,1,0,0,1,2,2,18.08,99.9,99.567,0,71.5,70.8,49.91,0,76,0
2024-01-07,ASH01,AMER-East,2,0,0,2,1,1,8.75,99.9,99.704,0,78.0,73.7,58.65,0,62,1
2024-01-08,ASH01,AMER-East,2,0,0,2,4,2,14.21,99.9,99.628,0,70.8,73.1,48.38,0,54,1
2024-01-09,ASH01,AMER-East,0,0,0,0,1,1,2.91,99.9,99.901,1,74.3,68.9,50.21,0,58,1
2024-01-10,ASH01,AMER-East,0,0,0,0,2,2,12.2,99.9,99.782,0,67.8,75.0,47.87,0,45,0
2024-01-11,ASH01,AMER-East,1,0,0,1,2,1,4.22,99.9,99.885,0,70.1,71.6,46.59,0,61,3
2024-01-12,ASH01,AMER-East,3,1,0,2,0,0,0.66,99.9,99.812,0,74.1,74.7,53.92,1,61,1
2024-01-13,ASH01,AMER-East,1,0,1,0,0,0,0.2,99.9,99.922,1,71.8,74.8,52.84,0,54,0
2024-01-14,ASH01,AMER-East,1,0,0,1,1,0,1.6,99.9,99.844,0,76.6,72.8,57.1,0,56,0
2024-01-15,ASH01,AMER-East,0,0,0,0,2,0,4.86,99.9,99.919,1,71.8,68.6,50.93,0,57,0
2024-01-16,ASH01,AMER-East,0,0,0,0,0,0,0.6,99.9,99.968,1,71.6,71.0,50.23,0,51,0
2024-01-17,ASH01,AMER-East,1,0,1,0,0,0,0.26,99.9,99.952,1,67.7,70.2,49.43,0,66,1
2024-01-18,ASH01,AMER-East,0,0,0,0,0,0,0.14,99.9,99.99,1,66.6,71.1,47.24,0,63,0
2024-01-19,ASH01,AMER-East,2,0,0,2,2,1,10.76,99.9,99.729,0,67.4,73.9,52.35,0,54,0
2024-01-20,ASH01,AMER-East,2,0,0,2,3,3,18.28,99.9,99.526,0,73.1,73.7,51.01,0,58,1
2024-01-21,ASH01,AMER-East,1,0,0,1,1,1,13.48,99.9,99.663,0,75.6,73.5,57.83,0,60,0
2024-01-22,ASH01,AMER-East,2,0,2,0,1,0,3.38,99.9,99.874,0,72.8,73.6,51.43,0,54,0
2024-01-23,ASH01,AMER-East,1,0,0,1,1,1,2.19,99.9,99.869,0,71.6,74.9,55.13,0,49,2
2024-01-24,ASH01,AMER-East,0,0,0,0,3,3,18.0,99.9,99.594,0,76.8,73.2,52.76,0,63,0
2024-01-25,ASH01,AMER-East,9,0,2,7,5,3,28.27,99.9,99.008,0,71.5,70.5,50.36,1,49,4
2024-01-26,ASH01,AMER-East,2,0,0,2,1,0,1.87,99.9,99.797,0,71.7,72.5,52.87,0,53,1
